date,pm25,pm10,o3,no2,so2
7/8/2014,49,19,38,17,2
7/9/2014,42,26,49,16,3
7/10/2014,33,21,53,18,3
7/11/2014,45,19,48,13,2
7/12/2014,44,20,48,14,2
7/13/2014,46,27,55,26,3
7/14/2014,56,36,64,26,2
7/15/2014,64,45,68,37,3
7/16/2014,76,56,53,45,3
7/17/2014,90,61,53,37,3
7/18/2014,95,29,35,14,2
7/19/2014,56,15,34,12,2
7/20/2014,39,21,57,18,2
7/21/2014,46,29,67,23,3
7/22/2014,51,38,63,30,3
7/23/2014,61,35,64,29,2
7/24/2014,62,34,60,32,2
7/25/2014,63,39,73,22,3
7/26/2014,74,36,73,19,3
7/27/2014,73,39,60,26,3
7/28/2014,69,21,43,12,2
7/29/2014,36,21,57,17,2
7/30/2014,40,46,53,27,4
7/31/2014,70,45,47,20,3
8/1/2014,76,23,40,13,3
8/2/2014,51,20,37,11,3
8/3/2014,38,33,46,21,3
8/4/2014,51,45,61,19,3
8/5/2014,70,44,55,23,3
8/6/2014,69,36,50,23,2
8/7/2014,55,38,40,24,3
8/8/2014,51,30,36,21,3
8/9/2014,52,27,46,15,3
8/10/2014,51,30,48,19,2
8/11/2014,53,51,45,23,2
8/12/2014,56,21,51,13,3
8/13/2014,37,25,51,12,3
8/14/2014,46,29,60,11,3
8/15/2014,52,29,52,10,3
8/16/2014,58,28,28,24,3
8/17/2014,56,42,47,21,3
8/18/2014,63,27,51,23,3
8/19/2014,52,39,55,21,3
8/20/2014,71,39,40,19,3
8/21/2014,62,37,43,19,3
8/22/2014,52,21,48,13,2
8/23/2014,42,33,49,20,2
8/24/2014,56,37,50,34,3
8/25/2014,59,39,34,26,3
8/26/2014,64,37,35,18,2
8/27/2014,58,41,38,30,4
8/28/2014,64,40,43,24,3
8/29/2014,60,36,45,18,3
8/30/2014,64,33,55,17,2
8/31/2014,66,36,53,25,3
9/1/2014,59,45,46,30,3
9/2/2014,68,46,44,28,3
9/3/2014,72,31,34,22,3
9/4/2014,51,41,41,31,3
9/5/2014,60,33,33,24,3
9/6/2014,53,32,34,23,3
9/7/2014,52,27,45,24,2
9/8/2014,47,31,47,26,2
9/9/2014,49,41,52,34,1
9/10/2014,65,31,38,23,1
9/11/2014,47,27,38,26,1
9/12/2014,44,26,41,24,2
9/13/2014,46,29,36,24,1
9/14/2014,46,29,37,24,2
9/15/2014,44,33,37,28,2
9/16/2014,50,30,33,21,1
9/17/2014,55,25,32,23,1
9/18/2014,49,21,31,24,1
9/19/2014,46,22,35,25,1
9/20/2014,43,21,42,20,2
9/21/2014,45,26,34,24,1
9/22/2014,49,21,37,23,1
9/23/2014,45,22,30,28,1
9/24/2014,51,31,37,25,2
9/25/2014,78,35,40,27,2
9/26/2014,77,32,35,26,1
9/27/2014,71,26,29,19,1
9/28/2014,67,31,35,35,1
9/29/2014,69,26,37,36,2
9/30/2014,58,34,30,30,2
10/1/2014,68,28,33,25,1
10/2/2014,56,34,37,32,1
10/3/2014,62,30,42,32,1
10/4/2014,60,29,43,25,1
10/5/2014,60,33,36,31,2
10/6/2014,59,22,29,21,1
10/7/2014,42,26,24,24,1
10/8/2014,48,21,15,21,1
10/9/2014,48,13,17,27,1
10/10/2014,37,,,,
10/11/2014,,11,33,11,1
10/12/2014,31,17,29,19,1
10/13/2014,40,15,31,28,1
10/14/2014,41,38,23,28,2
10/15/2014,53,32,21,26,2
10/16/2014,50,30,25,32,2
10/17/2014,58,34,28,35,2
10/18/2014,65,38,31,27,2
10/19/2014,64,51,20,40,3
10/20/2014,79,64,28,59,5
10/21/2014,106,40,29,34,2
10/22/2014,64,45,22,44,3
10/23/2014,79,48,19,40,3
10/24/2014,79,36,26,30,2
10/25/2014,61,35,24,30,2
10/26/2014,69,46,20,40,3
10/27/2014,69,51,22,46,4
10/28/2014,95,51,21,48,3
10/29/2014,87,50,18,51,5
10/30/2014,101,41,24,37,3
10/31/2014,77,40,27,37,4
11/1/2014,74,33,27,31,3
11/2/2014,70,17,28,26,2
11/3/2014,37,14,32,22,3
11/4/2014,33,17,30,27,4
11/5/2014,47,23,27,28,4
11/6/2014,52,20,26,25,3
11/7/2014,44,20,32,24,3
11/8/2014,42,14,33,21,3
11/9/2014,33,20,27,27,4
11/10/2014,53,17,21,30,3
11/11/2014,48,18,27,24,2
11/12/2014,42,22,14,32,3
11/13/2014,49,18,29,26,2
11/14/2014,38,16,29,18,2
11/15/2014,35,15,27,18,2
11/16/2014,36,19,31,28,3
11/17/2014,44,28,14,42,4
11/18/2014,62,28,16,38,6
11/19/2014,66,27,20,34,6
11/20/2014,58,33,14,35,5
11/21/2014,66,39,14,28,6
11/22/2014,65,75,12,25,4
11/23/2014,95,57,14,31,5
11/24/2014,84,55,15,37,5
11/25/2014,101,23,27,28,3
11/26/2014,48,18,15,29,4
11/27/2014,42,14,24,29,3
11/28/2014,39,14,21,30,4
11/29/2014,41,23,20,31,4
11/30/2014,64,21,26,30,5
12/1/2014,45,17,25,30,5
12/2/2014,45,12,12,26,5
12/3/2014,34,22,18,25,4
12/4/2014,39,27,16,35,5
12/5/2014,60,19,28,29,3
12/6/2014,46,14,32,24,3
12/7/2014,34,22,22,40,3
12/8/2014,54,27,26,45,4
12/9/2014,93,41,15,53,6
12/10/2014,75,41,6,62,9
12/11/2014,92,40,8,49,6
12/12/2014,74,30,15,28,3
12/13/2014,61,18,21,25,4
12/14/2014,45,14,20,29,6
12/15/2014,40,34,7,49,7
12/16/2014,73,42,4,55,7
12/17/2014,81,46,4,63,9
12/18/2014,99,51,3,67,9
12/19/2014,113,33,8,42,8
12/20/2014,79,18,17,31,6
12/21/2014,51,21,15,34,7
12/22/2014,48,33,13,48,7
12/23/2014,70,32,9,36,6
12/24/2014,74,19,22,25,6
12/25/2014,52,31,9,41,7
12/26/2014,66,32,15,30,5
12/27/2014,74,22,31,17,5
12/28/2014,37,,,,
12/31/2014,,47,10,65,11
1/1/2015,107,36,5,62,10
1/2/2015,77,34,6,57,10
1/3/2015,77,36,9,58,12
1/4/2015,75,33,8,55,9
1/5/2015,74,33,8,47,8
1/6/2015,84,38,8,57,9
1/7/2015,78,33,8,51,8
1/8/2015,65,39,7,65,11
1/9/2015,67,31,11,53,9
1/10/2015,57,28,10,39,9
1/11/2015,61,24,18,41,8
