date,pm25,pm10,o3,no2,so2
4/29/2016,42,14,39,16,5
4/30/2016,44,10,38,10,5
5/1/2016,23,12,47,15,6
5/2/2016,26,15,41,31,7
5/3/2016,39,23,49,37,7
5/4/2016,47,24,39,36,7
5/5/2016,52,16,34,24,7
5/6/2016,49,13,32,16,4
5/7/2016,41,10,31,14,5
5/8/2016,34,9,28,20,6
5/9/2016,31,13,28,25,6
5/10/2016,37,11,33,25,6
5/11/2016,32,10,32,22,6
5/12/2016,31,11,30,24,5
5/13/2016,31,10,38,19,7
5/14/2016,35,12,43,20,7
5/15/2016,41,14,47,16,6
5/16/2016,47,17,49,26,6
5/17/2016,47,25,43,35,7
5/18/2016,60,16,37,20,6
5/19/2016,45,17,39,24,7
5/20/2016,45,28,45,34,7
5/21/2016,64,23,38,16,6
5/22/2016,47,16,38,20,7
5/23/2016,35,27,35,30,7
5/24/2016,51,18,35,22,6
5/25/2016,41,22,40,28,6
5/26/2016,50,26,41,31,7
5/27/2016,57,16,33,23,5
5/28/2016,41,10,28,15,4
5/29/2016,30,13,39,21,7
5/30/2016,35,11,44,19,8
5/31/2016,36,15,46,23,7
6/1/2016,44,16,53,28,6
6/2/2016,41,31,48,37,8
6/3/2016,60,21,46,24,7
6/4/2016,56,19,45,18,6
6/5/2016,51,25,37,30,8
6/6/2016,57,21,41,27,8
6/7/2016,51,26,46,39,8
6/8/2016,59,32,42,38,8
6/9/2016,59,31,41,32,7
6/10/2016,61,20,42,17,6
6/11/2016,49,18,36,18,6
6/12/2016,44,19,29,16,8
6/13/2016,42,20,30,18,7
6/14/2016,41,17,27,18,7
6/15/2016,28,17,29,20,9
6/16/2016,35,15,35,21,6
6/17/2016,33,13,35,11,4
6/18/2016,36,12,39,12,5
6/19/2016,31,16,32,22,8
6/20/2016,47,20,43,23,8
6/21/2016,49,21,42,22,7
6/22/2016,35,30,44,25,7
6/23/2016,52,37,40,41,8
6/24/2016,64,26,53,18,7
6/25/2016,57,24,52,13,3
6/26/2016,52,26,64,20,7
6/27/2016,60,42,47,31,7
6/28/2016,85,49,43,32,7
6/29/2016,75,30,45,31,7
6/30/2016,62,26,41,31,8
7/1/2016,56,21,45,27,8
7/2/2016,55,27,55,14,4
7/3/2016,60,38,46,23,6
7/4/2016,70,25,54,25,4
7/5/2016,61,31,63,25,6
7/6/2016,66,23,40,25,4
7/7/2016,55,27,64,35,4
7/8/2016,58,25,76,24,5
7/9/2016,62,34,55,30,5
7/10/2016,66,25,40,33,4
7/11/2016,59,19,47,27,2
7/12/2016,47,16,41,15,2
7/13/2016,38,14,46,16,2
7/14/2016,33,17,50,19,2
7/15/2016,35,27,59,28,3
7/16/2016,56,25,54,20,2
7/17/2016,51,26,44,26,2
7/18/2016,52,36,49,26,3
7/19/2016,57,72,39,32,2
7/20/2016,97,33,49,36,3
7/21/2016,61,24,57,24,2
7/22/2016,51,12,32,9,2
7/23/2016,29,14,50,10,2
7/24/2016,33,17,52,15,2
7/25/2016,37,28,62,25,3
7/26/2016,49,31,78,30,2
7/27/2016,65,29,71,25,2
7/28/2016,59,36,58,34,3
7/29/2016,69,40,48,27,2
7/30/2016,70,23,50,17,2
7/31/2016,54,22,61,17,2
8/1/2016,53,30,62,28,2
8/2/2016,57,36,65,38,3
8/3/2016,64,29,50,30,3
8/4/2016,54,17,45,13,2
8/5/2016,45,16,43,14,2
8/6/2016,36,19,45,14,2
8/7/2016,43,26,54,23,3
8/8/2016,47,26,47,26,2
8/9/2016,47,14,41,10,2
8/10/2016,33,15,45,13,3
8/11/2016,31,25,56,18,2
8/12/2016,51,23,52,16,2
8/13/2016,53,20,43,13,2
8/14/2016,49,29,44,16,2
8/15/2016,49,43,43,26,2
8/16/2016,71,37,45,29,2
8/17/2016,63,27,44,23,2
8/18/2016,53,23,39,23,3
8/19/2016,53,17,43,14,2
8/20/2016,46,30,56,14,2
8/21/2016,50,30,48,21,2
8/22/2016,54,33,44,26,3
8/23/2016,62,25,44,22,3
8/24/2016,45,22,44,23,3
8/25/2016,43,30,48,23,3
8/26/2016,49,39,45,22,3
8/27/2016,69,56,46,30,3
8/28/2016,84,33,53,25,3
8/29/2016,67,29,49,21,3
8/30/2016,50,34,51,26,3
8/31/2016,63,33,46,24,3
9/1/2016,60,31,50,36,3
9/2/2016,55,35,49,39,4
9/3/2016,68,44,37,39,5
9/4/2016,80,54,43,41,4
9/5/2016,89,48,39,44,4
9/6/2016,72,52,31,47,5
9/7/2016,75,46,56,36,4
9/8/2016,86,30,43,26,3
9/9/2016,61,25,53,20,3
9/10/2016,58,29,51,24,3
9/11/2016,63,38,42,35,4
9/12/2016,69,31,30,21,3
9/13/2016,54,13,27,21,3
9/14/2016,37,14,30,26,3
9/15/2016,35,16,27,26,3
9/16/2016,43,13,28,16,2
9/17/2016,37,15,33,16,3
9/18/2016,35,19,30,26,3
9/19/2016,40,20,39,29,4
9/20/2016,49,27,43,36,4
9/21/2016,65,30,42,41,4
9/22/2016,64,34,40,43,5
9/23/2016,70,34,41,36,4
9/24/2016,72,35,42,35,4
9/25/2016,76,36,35,27,4
9/26/2016,99,39,35,23,3
9/27/2016,57,25,27,16,3
9/28/2016,71,33,39,28,4
9/29/2016,78,39,37,34,5
9/30/2016,95,32,41,36,4
10/1/2016,59,33,37,29,4
10/2/2016,58,34,38,37,5
10/3/2016,67,41,37,43,5
10/4/2016,66,55,38,45,6
10/5/2016,72,46,40,48,6
10/6/2016,72,32,35,42,5
10/7/2016,61,30,35,43,5
10/8/2016,63,30,41,29,4
10/9/2016,66,22,33,27,5
10/10/2016,52,29,43,35,4
10/11/2016,56,19,33,19,4
10/12/2016,55,14,24,23,3
10/13/2016,40,16,21,24,3
10/14/2016,47,21,33,30,4
10/15/2016,57,21,33,31,4
10/16/2016,56,25,18,34,5
10/17/2016,64,18,21,26,4
10/18/2016,52,24,12,32,5
10/19/2016,67,27,8,30,5
10/20/2016,72,27,14,29,5
10/21/2016,66,25,10,25,5
10/22/2016,67,10,21,13,4
10/23/2016,35,12,22,23,4
10/24/2016,41,23,18,29,5
10/25/2016,49,53,12,37,6
10/26/2016,79,49,16,38,7
10/27/2016,80,46,16,35,6
10/28/2016,81,36,23,38,5
10/29/2016,75,24,26,42,7
10/30/2016,61,29,17,47,6
10/31/2016,65,30,27,38,5
11/1/2016,74,37,19,39,5
11/2/2016,79,43,15,44,6
11/3/2016,78,30,7,34,4
11/4/2016,68,19,22,19,3
11/5/2016,62,24,30,21,3
11/6/2016,82,14,26,26,4
11/7/2016,46,13,28,28,4
11/8/2016,37,12,28,20,3
11/9/2016,34,26,18,41,5
11/10/2016,63,32,9,42,6
11/11/2016,75,30,8,34,5
11/12/2016,76,26,22,28,6
11/13/2016,66,11,25,24,5
11/14/2016,30,16,24,31,7
11/15/2016,38,28,14,41,7
11/16/2016,62,41,8,52,9
11/17/2016,88,40,10,41,6
11/18/2016,92,33,19,31,3
11/19/2016,84,13,20,19,1
11/20/2016,43,11,27,22,1
11/21/2016,29,17,15,33,2
11/22/2016,47,14,15,28,3
11/23/2016,43,16,20,31,2
11/24/2016,48,13,16,29,2
11/25/2016,44,11,16,28,2
11/26/2016,40,11,17,24,2
11/27/2016,38,17,26,21,3
11/28/2016,34,18,11,31,4
11/29/2016,50,12,22,27,2
11/30/2016,36,14,26,28,3
12/1/2016,39,24,13,35,3
12/2/2016,62,22,14,28,3
12/3/2016,62,10,20,21,2
12/4/2016,35,14,16,23,3
12/5/2016,41,,,,
12/6/2016,,41,6,37,4
12/7/2016,91,27,20,31,4
12/8/2016,71,23,15,36,5
12/9/2016,65,21,18,31,3
12/10/2016,61,25,14,29,3
12/11/2016,71,41,3,40,4
12/12/2016,100,39,4,38,5
12/13/2016,96,32,6,32,3
12/14/2016,79,22,13,28,2
12/15/2016,65,17,10,28,3
12/16/2016,54,11,26,18,3
12/17/2016,38,12,28,17,3
12/18/2016,40,16,29,27,5
12/19/2016,45,27,15,45,6
12/20/2016,68,33,13,48,7
12/21/2016,74,37,4,49,7
12/22/2016,89,37,6,44,6
12/23/2016,89,17,18,27,6
12/24/2016,54,20,10,28,5
12/25/2016,60,38,5,49,10
12/26/2016,98,38,10,54,9
12/27/2016,88,36,7,49,7
12/28/2016,80,38,5,48,8
12/29/2016,87,38,4,54,10
12/30/2016,89,36,8,33,6
12/31/2016,94,33,13,29,5
1/1/2017,90,28,13,30,6
1/2/2017,79,39,7,37,6
1/3/2017,95,45,12,45,6
1/4/2017,106,37,6,38,5
1/5/2017,91,29,17,40,7
1/6/2017,77,26,11,39,6
1/7/2017,73,34,10,41,7
1/8/2017,88,35,9,46,6
1/9/2017,80,38,5,47,8
1/10/2017,89,21,21,38,6
1/11/2017,53,29,16,38,6
1/12/2017,71,12,30,24,4
1/13/2017,36,13,28,32,5
1/14/2017,38,13,30,29,4
1/15/2017,37,22,27,41,5
1/16/2017,57,11,30,26,5
1/17/2017,29,11,28,23,5
1/18/2017,29,14,27,23,5
1/19/2017,42,15,28,20,4
1/20/2017,43,11,30,23,5
1/21/2017,37,21,25,33,6
1/22/2017,59,21,26,37,6
1/23/2017,57,36,23,54,7
1/24/2017,77,33,18,45,6
1/25/2017,73,37,16,42,6
1/26/2017,86,17,25,30,3
1/27/2017,59,10,32,24,3
1/28/2017,30,17,21,25,2
1/29/2017,54,15,21,26,2
1/30/2017,52,21,15,30,5
1/31/2017,62,28,7,34,4
2/1/2017,75,14,25,25,2
2/2/2017,46,16,28,21,2
2/3/2017,36,9,27,12,2
2/4/2017,30,9,35,13,2
2/5/2017,27,11,34,23,2
2/6/2017,31,16,28,26,2
2/7/2017,44,10,34,26,3
2/8/2017,30,20,19,40,4
2/9/2017,56,25,5,33,3
2/10/2017,68,13,22,26,3
2/11/2017,46,37,22,23,2
2/12/2017,52,21,30,21,1
2/13/2017,37,20,23,32,3
2/14/2017,50,16,26,30,4
2/15/2017,46,21,24,31,4
2/16/2017,53,28,17,36,4
2/17/2017,67,31,16,36,4
2/18/2017,78,25,31,24,4
2/19/2017,68,20,29,30,5
2/20/2017,60,20,29,34,6
2/21/2017,56,43,24,40,6
2/22/2017,72,99,8,36,5
2/23/2017,144,59,24,30,4
2/24/2017,87,21,32,29,3
2/25/2017,47,33,28,25,2
2/26/2017,72,30,30,21,2
2/27/2017,55,15,28,22,2
2/28/2017,30,19,30,28,2
3/1/2017,52,29,25,33,2
3/2/2017,64,24,29,33,3
3/3/2017,58,7,31,18,2
3/4/2017,24,9,25,19,2
3/5/2017,34,12,31,25,3
3/6/2017,33,13,34,27,3
3/7/2017,35,36,19,44,4
3/8/2017,64,36,22,50,5
3/9/2017,72,38,30,51,5
3/10/2017,72,32,32,37,4
3/11/2017,66,17,37,19,2
3/12/2017,34,24,36,15,3
3/13/2017,23,22,31,23,4
3/14/2017,47,22,37,24,3
3/15/2017,52,21,38,25,3
3/16/2017,56,19,41,30,4
3/17/2017,44,25,36,34,4
3/18/2017,55,28,40,35,4
3/19/2017,61,22,42,27,4
3/20/2017,52,21,32,23,2
3/21/2017,54,13,34,22,2
3/22/2017,28,9,31,24,2
3/23/2017,30,13,27,26,3
3/24/2017,43,15,30,27,2
3/25/2017,51,8,35,16,2
3/26/2017,28,11,35,23,2
3/27/2017,32,18,38,32,1
3/28/2017,52,22,37,36,3
3/29/2017,54,27,39,38,3
3/30/2017,61,22,35,32,2
3/31/2017,55,10,41,20,1
4/1/2017,23,10,41,19,1
4/2/2017,28,11,37,22,2
4/3/2017,27,16,42,36,3
4/4/2017,38,11,38,20,2
4/5/2017,30,14,44,21,2
4/6/2017,40,18,44,24,2
4/7/2017,44,23,53,25,2
4/8/2017,54,19,49,22,2
4/9/2017,44,22,39,25,9
4/10/2017,48,25,46,33,7
4/11/2017,50,25,54,33,2
4/12/2017,56,31,48,31,2
4/13/2017,63,39,39,26,2
4/14/2017,64,20,42,23,2
4/15/2017,45,19,45,14,2
4/16/2017,43,26,43,35,2
4/17/2017,54,20,43,24,1
4/18/2017,41,19,38,17,1
4/19/2017,37,16,38,17,1
4/20/2017,40,16,44,20,2
4/21/2017,41,13,44,21,1
4/22/2017,32,20,48,29,2
4/23/2017,47,31,42,34,2
4/24/2017,56,44,42,30,1
4/25/2017,69,22,40,21,1
4/26/2017,49,11,43,16,2
4/27/2017,29,13,40,16,2
4/28/2017,34,11,29,18,2
4/29/2017,38,13,35,19,2
4/30/2017,42,9,41,13,1
5/1/2017,27,14,41,22,2
5/2/2017,45,17,42,26,2
5/3/2017,47,24,36,40,2
5/4/2017,55,21,35,30,1
5/5/2017,46,10,37,17,1
5/6/2017,30,13,43,19,2
5/7/2017,36,20,46,27,2
5/8/2017,46,25,46,33,2
5/9/2017,53,17,40,20,2
5/10/2017,44,10,35,23,2
5/11/2017,30,11,30,25,2
5/12/2017,34,12,26,19,2
5/13/2017,35,14,29,20,2
5/14/2017,39,17,36,22,2
5/15/2017,45,25,46,32,3
5/16/2017,61,22,44,28,2
5/17/2017,51,15,38,21,2
5/18/2017,43,12,46,23,2
5/19/2017,36,14,49,22,2
5/20/2017,39,20,38,29,2
5/21/2017,45,28,58,32,3
5/22/2017,54,27,52,27,2
5/23/2017,53,24,56,27,2
5/24/2017,50,27,58,31,2
5/25/2017,54,40,50,34,2
5/26/2017,64,33,47,23,2
5/27/2017,55,26,45,16,3
5/28/2017,49,23,39,23,2
5/29/2017,54,19,45,21,2
5/30/2017,49,23,53,25,2
5/31/2017,49,26,61,27,1
6/1/2017,54,34,51,35,3
6/2/2017,62,22,45,17,
6/3/2017,54,16,38,12,
6/4/2017,47,15,43,21,1
6/5/2017,37,17,43,20,2
6/6/2017,45,23,60,25,2
6/7/2017,45,34,56,31,3
6/8/2017,58,31,44,31,2
6/9/2017,61,28,40,27,3
6/10/2017,58,36,44,29,4
6/11/2017,68,29,48,30,2
6/12/2017,55,28,60,24,2
6/13/2017,58,39,61,35,4
6/14/2017,63,50,55,45,4
6/15/2017,78,36,76,29,2
6/16/2017,66,35,60,31,2
6/17/2017,73,25,66,20,1
6/18/2017,59,35,46,24,3
6/19/2017,62,30,47,25,2
6/20/2017,66,28,37,29,2
6/21/2017,63,36,51,40,3
6/22/2017,71,30,50,36,3
6/23/2017,64,27,41,27,3
6/24/2017,58,31,37,23,2
6/25/2017,58,26,47,24,1
6/26/2017,59,20,38,30,2
6/27/2017,50,16,35,20,
6/28/2017,34,13,40,18,
6/29/2017,31,10,33,16,2
6/30/2017,27,9,35,9,2
7/1/2017,26,10,35,12,1
7/2/2017,25,15,38,22,3
7/3/2017,33,22,34,22,2
7/4/2017,41,30,52,22,2
7/5/2017,53,25,28,24,3
7/6/2017,55,22,27,23,3
7/7/2017,50,20,39,22,4
7/8/2017,55,24,53,28,4
7/9/2017,63,24,42,28,4
7/10/2017,55,19,56,32,2
7/11/2017,54,25,61,43,4
7/12/2017,65,39,49,47,4
7/13/2017,73,39,51,36,3
7/14/2017,70,28,70,21,2
7/15/2017,56,25,65,19,2
7/16/2017,55,26,54,32,4
7/17/2017,57,41,53,29,4
7/18/2017,66,26,41,23,4
7/19/2017,50,17,57,25,4
7/20/2017,44,20,50,27,4
7/21/2017,49,18,53,24,3
7/22/2017,49,21,52,20,4
7/23/2017,56,19,57,18,2
7/24/2017,47,13,49,13,3
7/25/2017,35,16,45,22,1
7/26/2017,43,23,48,30,4
7/27/2017,52,28,64,43,6
7/28/2017,67,21,52,32,5
7/29/2017,56,39,34,27,5
7/30/2017,61,47,40,26,5
7/31/2017,64,21,44,23,4
8/1/2017,47,28,61,26,3
8/2/2017,56,30,64,32,4
8/3/2017,61,22,58,26,5
8/4/2017,57,27,50,23,2
8/5/2017,66,22,55,13,5
8/6/2017,50,27,55,22,2
8/7/2017,55,17,49,15,1
8/8/2017,40,21,44,13,1
8/9/2017,42,13,40,10,4
8/10/2017,28,14,47,14,3
8/11/2017,31,15,60,13,2
8/12/2017,39,17,56,21,5
8/13/2017,43,26,46,18,4
8/14/2017,50,35,47,14,3
8/15/2017,56,37,56,25,4
8/16/2017,67,31,61,21,4
8/17/2017,61,35,55,32,4
8/18/2017,67,21,61,15,4
8/19/2017,49,24,68,15,4
8/20/2017,52,26,54,20,4
8/21/2017,50,38,56,19,4
8/22/2017,60,47,58,34,4
8/23/2017,68,32,50,28,4
8/24/2017,60,33,41,33,4
8/25/2017,61,40,37,27,3
8/26/2017,64,33,30,14,2
8/27/2017,61,24,17,21,6
8/28/2017,54,18,30,18,6
8/29/2017,48,18,44,20,4
8/30/2017,51,15,53,18,3
8/31/2017,41,13,45,15,4
9/1/2017,41,11,42,15,4
9/2/2017,35,18,57,34,5
9/3/2017,53,13,42,21,2
9/4/2017,39,19,50,24,2
9/5/2017,49,25,7,61,1
9/6/2017,56,,,,
9/9/2017,,6,,,4
9/10/2017,,14,30,25,4
9/11/2017,40,14,35,17,2
9/12/2017,37,19,42,32,3
9/13/2017,46,20,36,37,5
9/14/2017,49,13,32,13,1
9/15/2017,30,11,34,12,2
9/16/2017,21,11,41,22,5
9/17/2017,33,12,37,25,5
9/18/2017,36,18,40,34,4
9/19/2017,47,17,42,37,4
9/20/2017,41,30,51,50,4
9/21/2017,65,23,45,32,4
9/22/2017,54,20,47,26,2
9/23/2017,49,29,49,41,4
9/24/2017,65,23,41,37,4
9/25/2017,52,15,33,24,2
9/26/2017,43,26,40,42,5
9/27/2017,56,31,36,47,5
9/28/2017,64,36,39,46,5
9/29/2017,65,36,33,39,5
9/30/2017,59,17,27,17,4
10/1/2017,45,18,17,28,4
10/2/2017,47,19,21,31,5
10/3/2017,49,21,30,27,4
10/4/2017,47,26,31,42,4
10/5/2017,57,19,37,30,3
10/6/2017,43,17,39,28,5
10/7/2017,35,23,39,37,3
10/8/2017,53,19,31,42,4
10/9/2017,43,26,35,45,3
10/10/2017,50,34,41,56,2
10/11/2017,68,47,44,48,2
10/12/2017,78,37,33,40,1
10/13/2017,64,39,35,41,2
10/14/2017,64,34,37,32,1
10/15/2017,62,30,33,29,1
10/16/2017,54,25,27,30,1
10/17/2017,55,13,23,26,1
10/18/2017,39,16,32,34,1
10/19/2017,48,17,27,31,1
10/20/2017,48,18,26,22,1
10/21/2017,54,14,30,24,1
10/22/2017,34,18,24,37,2
10/23/2017,44,21,18,46,2
10/24/2017,52,27,19,49,3
10/25/2017,62,30,20,51,3
10/26/2017,68,37,24,39,2
10/27/2017,68,19,30,26,1
10/28/2017,44,14,29,24,1
10/29/2017,39,13,26,24,1
10/30/2017,35,20,28,31,2
10/31/2017,46,26,28,29,2
11/1/2017,60,23,28,33,2
11/2/2017,58,24,28,33,2
11/3/2017,63,14,28,24,1
11/4/2017,47,12,33,23,3
11/5/2017,40,10,28,27,3
11/6/2017,28,19,19,36,3
11/7/2017,47,14,32,33,4
11/8/2017,41,6,34,18,3
11/9/2017,21,13,29,34,4
11/10/2017,38,19,21,41,4
11/11/2017,56,19,23,34,4
11/12/2017,58,14,38,33,4
11/13/2017,39,19,22,38,4
11/14/2017,49,30,12,48,5
11/15/2017,65,39,8,62,7
11/16/2017,85,35,8,60,6
11/17/2017,78,25,16,45,6
11/18/2017,61,24,18,42,5
11/19/2017,63,39,9,56,6
11/20/2017,84,42,9,56,6
11/21/2017,90,52,1,74,9
11/22/2017,114,42,15,56,6
11/23/2017,83,37,19,47,4
11/24/2017,73,33,20,37,3
11/25/2017,67,10,25,21,4
11/26/2017,28,24,14,39,5
11/27/2017,56,38,2,47,5
11/28/2017,83,21,28,31,4
11/29/2017,55,9,28,28,4
11/30/2017,31,9,32,29,4
12/1/2017,30,9,28,30,4
12/2/2017,30,10,28,28,5
12/3/2017,35,20,18,39,6
12/4/2017,57,24,13,46,6
12/5/2017,65,28,12,44,7
12/6/2017,77,39,9,45,7
12/7/2017,95,49,6,44,6
12/8/2017,125,37,22,33,5
12/9/2017,100,10,28,18,2
12/10/2017,31,7,33,22,2
12/11/2017,26,14,25,32,4
12/12/2017,41,18,19,38,4
12/13/2017,55,10,21,25,1
12/14/2017,40,8,31,29,2
12/15/2017,25,15,27,35,3
12/16/2017,49,7,30,24,3
12/17/2017,26,27,16,43,4
12/18/2017,71,21,21,45,4
12/19/2017,58,40,3,62,6
12/20/2017,91,30,8,51,5
12/21/2017,77,43,2,65,7
12/22/2017,106,23,18,35,4
12/23/2017,67,20,14,30,3
12/24/2017,65,25,7,26,2
12/25/2017,75,13,23,26,2
12/26/2017,44,6,31,23,2
12/27/2017,20,8,25,28,2
12/28/2017,26,9,29,27,2
12/29/2017,36,10,22,23,2
12/30/2017,37,,,,
12/31/2017,,16,29,21,2
1/1/2018,32,11,31,24,4
1/2/2018,31,12,16,24,16
1/3/2018,42,10,18,22,8
1/4/2018,38,8,23,23,1
1/5/2018,27,5,30,21,1
1/6/2018,19,5,23,21,1
1/7/2018,22,12,18,32,3
1/8/2018,38,20,7,34,2
1/9/2018,63,13,19,30,1
1/10/2018,45,9,31,29,2
1/11/2018,27,18,23,41,3
1/12/2018,49,22,8,36,2
1/13/2018,67,10,21,23,3
1/14/2018,36,17,19,35,3
1/15/2018,54,24,16,38,3
1/16/2018,56,18,22,33,4
1/17/2018,52,21,14,43,4
1/18/2018,59,28,7,50,6
1/19/2018,73,27,21,44,4
1/20/2018,74,13,23,30,3
1/21/2018,45,19,9,32,4
1/22/2018,56,25,9,40,5
1/23/2018,63,32,6,39,4
1/24/2018,81,33,14,36,3
1/25/2018,78,7,28,24,3
1/26/2018,25,7,29,18,4
1/27/2018,23,7,29,17,4
1/28/2018,25,19,22,34,3
1/29/2018,48,23,18,41,4
1/30/2018,60,25,11,46,4
1/31/2018,64,28,24,41,4
2/1/2018,68,8,30,24,3
2/2/2018,28,10,30,28,2
2/3/2018,33,7,27,22,1
2/4/2018,30,7,21,28,2
2/5/2018,30,21,25,25,2
2/6/2018,58,11,26,31,3
2/7/2018,37,14,24,32,3
2/8/2018,46,26,20,47,3
2/9/2018,68,9,33,24,3
2/10/2018,32,17,26,31,3
2/11/2018,54,9,30,27,2
2/12/2018,29,16,29,35,2
2/13/2018,47,10,26,23,1
2/14/2018,36,21,21,33,2
2/15/2018,59,26,11,28,3
2/16/2018,74,26,24,24,3
2/17/2018,69,9,31,17,5
2/18/2018,25,8,30,24,5
2/19/2018,26,9,29,26,4
2/20/2018,26,8,32,23,3
2/21/2018,26,15,29,29,3
2/22/2018,44,18,27,32,3
2/23/2018,51,23,33,38,4
2/24/2018,61,26,34,38,3
2/25/2018,70,30,25,51,5
2/26/2018,74,22,27,35,2
2/27/2018,62,15,24,34,2
2/28/2018,54,8,35,22,1
3/1/2018,30,11,28,31,2
3/2/2018,43,9,38,21,1
3/3/2018,36,7,35,18,1
3/4/2018,28,8,36,25,1
3/5/2018,28,9,31,26,1
3/6/2018,33,9,35,24,2
3/7/2018,33,12,26,31,1
3/8/2018,44,13,19,29,1
3/9/2018,46,8,29,23,1
3/10/2018,28,8,36,13,1
3/11/2018,26,9,34,20,1
3/12/2018,27,13,30,28,1
3/13/2018,39,11,25,28,1
3/14/2018,39,8,39,21,1
3/15/2018,27,8,35,24,1
3/16/2018,27,8,35,21,1
3/17/2018,29,7,39,22,2
3/18/2018,26,8,37,24,2
3/19/2018,29,8,35,20,4
3/20/2018,25,9,41,20,4
3/21/2018,30,13,41,31,3
3/22/2018,40,18,30,37,3
3/23/2018,53,11,38,15,2
3/24/2018,26,8,38,18,3
3/25/2018,22,10,40,28,4
3/26/2018,37,11,35,25,3
3/27/2018,37,17,31,30,3
3/28/2018,48,10,40,13,2
3/29/2018,32,9,42,11,2
3/30/2018,21,7,42,15,2
3/31/2018,19,10,37,23,3
4/1/2018,37,14,39,26,2
4/2/2018,40,12,36,19,1
4/3/2018,34,10,39,19,1
4/4/2018,25,16,37,31,2
4/5/2018,41,21,25,39,2
4/6/2018,48,15,39,23,1
4/7/2018,34,8,36,18,2
4/8/2018,29,7,42,21,1
4/9/2018,23,7,38,26,1
4/10/2018,24,7,39,30,1
4/11/2018,25,9,38,26,2
4/12/2018,30,9,40,28,1
4/13/2018,30,11,41,29,2
4/14/2018,41,9,32,19,1
4/15/2018,35,9,41,21,1
4/16/2018,30,16,37,34,2
4/17/2018,44,18,45,36,2
4/18/2018,51,32,48,25,2
4/19/2018,55,48,41,21,1
4/20/2018,60,50,36,22,1
4/21/2018,63,46,39,28,1
4/22/2018,67,40,31,30,
4/23/2018,59,38,39,28,
4/24/2018,54,39,39,31,
4/25/2018,58,40,47,32,1
4/26/2018,62,34,42,25,1
4/27/2018,57,18,42,14,
4/28/2018,44,12,39,14,1
4/29/2018,28,8,41,19,1
4/30/2018,26,7,43,16,1
5/1/2018,23,9,42,22,1
5/2/2018,32,14,45,29,2
5/3/2018,36,13,41,22,1
5/4/2018,32,19,46,19,2
5/5/2018,48,18,48,15,1
5/6/2018,49,18,38,30,3
5/7/2018,51,18,39,35,2
5/8/2018,49,20,46,29,1
5/9/2018,58,15,45,24,1
5/10/2018,45,20,45,29,1
5/11/2018,52,19,42,17,1
5/12/2018,45,13,40,13,1
5/13/2018,31,9,43,18,
5/14/2018,27,12,49,14,1
5/15/2018,33,16,49,22,2
5/16/2018,43,18,54,27,2
5/17/2018,44,19,44,27,1
5/18/2018,52,17,45,21,1
5/19/2018,52,12,48,17,1
5/20/2018,41,18,50,27,1
5/21/2018,50,17,39,33,1
5/22/2018,52,19,51,34,1
5/23/2018,54,22,44,30,1
5/24/2018,51,19,36,32,1
5/25/2018,55,16,40,24,1
5/26/2018,51,18,44,23,2
5/27/2018,49,14,34,28,1
5/28/2018,48,19,32,31,2
5/29/2018,51,26,37,28,1
5/30/2018,53,22,43,26,1
5/31/2018,53,24,40,33,2
6/1/2018,60,17,45,16,1
6/2/2018,45,17,41,22,1
6/3/2018,51,15,33,19,2
6/4/2018,42,15,36,22,1
6/5/2018,37,14,32,24,1
6/6/2018,40,21,39,31,2
6/7/2018,54,19,27,24,1
6/8/2018,56,18,35,20,1
6/9/2018,52,16,33,22,1
6/10/2018,46,14,35,21,1
6/11/2018,37,16,37,25,1
6/12/2018,44,15,41,20,1
6/13/2018,40,17,46,21,1
6/14/2018,47,25,49,29,2
6/15/2018,58,20,45,14,2
6/16/2018,50,18,45,15,1
6/17/2018,42,16,35,20,1
6/18/2018,40,22,61,22,3
6/19/2018,47,27,59,26,3
6/20/2018,54,29,53,28,2
6/21/2018,56,32,63,32,2
6/22/2018,60,33,74,23,2
6/23/2018,66,41,59,21,2
6/24/2018,70,53,71,29,2
6/25/2018,80,57,62,29,2
6/26/2018,96,46,42,28,2
6/27/2018,79,37,46,27,2
6/28/2018,66,34,46,22,2
6/29/2018,66,28,39,16,2
6/30/2018,60,24,38,14,2
7/1/2018,63,22,44,22,2
7/2/2018,52,28,47,29,2
7/3/2018,57,30,43,32,2
7/4/2018,59,26,60,24,2
7/5/2018,54,25,51,24,2
7/6/2018,52,30,51,24,3
7/7/2018,66,29,55,17,2
7/8/2018,66,30,52,24,2
7/9/2018,65,31,63,22,2
7/10/2018,68,35,61,26,2
7/11/2018,68,31,65,24,2
7/12/2018,65,40,55,25,3
7/13/2018,71,40,51,21,2
7/14/2018,76,32,42,17,2
7/15/2018,64,26,51,19,2
7/16/2018,59,30,59,27,2
7/17/2018,62,40,51,30,2
7/18/2018,66,38,50,34,2
7/19/2018,68,42,45,29,2
7/20/2018,72,25,47,12,2
7/21/2018,57,26,56,14,1
7/22/2018,58,33,52,28,1
7/23/2018,65,36,46,27,2
7/24/2018,70,36,51,31,2
7/25/2018,67,41,51,36,2
7/26/2018,77,39,50,34,2
7/27/2018,72,32,54,21,1
7/28/2018,66,27,46,14,1
7/29/2018,61,37,48,29,2
7/30/2018,78,37,60,31,2
7/31/2018,71,42,78,39,2
8/1/2018,78,50,65,42,2
8/2/2018,88,59,57,28,2
